2015 ACTUAL DATA,,,,,,GENERAL,,,,,,,,SPOILT PAPERS,,POSTAL VOTES,,,,2010 ACTUAL,,,,,,,,,,,,,,,
Press Association ID Number,Constituency Name,Constituency ID,Constituency Type,Region,County,Electorate , Total number of valid votes counted , Total number of ballots at count  ,Total number of ballots returned by close of poll,Valid vote turnout (all valid votes),Ballot box turnout (inc votes rejected at count),Total vote turnout (inc postal votes rejected and votes  rejected at count),,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of postal votes included in the count,,Constituency Name 2010,PAID Number,Region,Electorate,Total number of valid votes counted , Total number of ballots at count  ,Total number of ballots returned by close of poll,Valid vote turnout,Ballot box turnout,Total vote turnout ,,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of postal votes included in the count
,,,,,,,,,,,,,,,,A1,B6,C18,,,,,,,,,,,,,,,,,
11,Amber Valley,E14000533,County,East Midlands,Derbyshire,"69,510","45,717","45,820","45,981",65.8,65.9,66.2,,103,,"14,914","12,447","12,286",,Amber Valley,11,East Midlands,"70,171","45,958","46,058","46,402",65.5,65.6,66.1,,100,,"12,566","10,335","9,991"
19,Ashfield,E14000535,County,East Midlands,Nottinghamshire,"77,091","47,409","47,618","47,848",61.5,61.8,62.1,,209,,"11,185","9,554","9,324",,Ashfield,19,East Midlands,"77,379","48,196","48,257","48,578",62.3,62.4,62.8,,61,,"11,016","9,457","9,136"
35,Bassetlaw,E14000546,County,East Midlands,Nottinghamshire,"76,796","49,289","49,459","50,420",64.2,64.4,65.7,,170,,"14,113","12,419","11,458",,Bassetlaw,35,East Midlands,"76,513","49,577","49,725","50,020",64.8,65.0,65.4,,148,,"11,777","9,734","9,439"
75,Bolsover,E14000577,County,East Midlands,Derbyshire,"71,979","43,998","44,191","44,524",61.1,61.4,61.9,,193,,"8,749","7,660","7,327",,Bolsover,75,East Midlands,"72,766","43,988","44,042","44,329",60.5,60.5,60.9,,54,,"8,188","6,927","6,640"
80,Boston and Skegness,E14000582,County,East Midlands,Lincolnshire,"67,064","43,339","43,518","44,413",64.6,64.9,66.2,,179,,"10,952","9,940","9,045",,Boston & Skegness,80,East Midlands,"67,186","43,125","43,178","43,862",64.2,64.3,65.3,,53,,"9,685","8,038","7,354"
81,Bosworth,E14000583,County,East Midlands,Leicestershire,"79,738","53,582","53,788","54,302",67.2,67.5,68.1,,206,,"13,777","12,293","11,779",,Bosworth,81,East Midlands,"77,296","54,274","54,365","54,589",70.2,70.3,70.6,,91,,"11,780","10,143","9,919"
107,Broxtowe,E14000607,County,East Midlands,Nottinghamshire,"71,764","53,440","53,640","53,893",74.5,74.7,75.1,,200,,"13,418","11,962","11,709",,Broxtowe,107,East Midlands,"72,042","52,727","52,788","54,214",73.2,73.3,75.3,,61,,"12,527","11,921","10,495"
136,Charnwood,E14000625,County,East Midlands,Leicestershire,"77,269","52,261","52,438","52,645",67.6,67.9,68.1,,177,,"10,188","9,219","9,012",,Charnwood,136,East Midlands,"74,473","53,542","53,626","53,898",71.9,72.0,72.4,,84,,"8,615","7,696","7,424"
144,Chesterfield,E14000632,Borough,East Midlands,Derbyshire,"71,625","45,567","45,746","46,306",63.6,63.9,64.7,,179,,"13,381","12,032","11,472",,Chesterfield,144,East Midlands,"71,878","45,839","45,924","46,214",63.8,63.9,64.3,,85,,"12,727","10,982","10,692"
161,Corby,E14000648,County,East Midlands,Northamptonshire,"79,775","56,174","56,306","56,916",70.4,70.6,71.3,,132,,"16,601","14,563","13,953",,Corby,161,East Midlands,"78,024","54,236","54,345","54,663",69.5,69.7,70.1,,109,,"15,393","13,293","12,975"
178,Daventry,E14000660,County,East Midlands,Northamptonshire,"72,873","52,518","52,655","52,735",72.1,72.3,72.4,,137,,"13,258","11,429","11,349",,Daventry,178,East Midlands,"71,452","51,774","51,871","52,063",72.5,72.6,72.9,,97,,"11,674","9,974","9,782"
181,Derby North,E14000662,Borough,East Midlands,Derbyshire,"69,794","44,745","44,882","45,388",64.1,64.3,65.0,,137,,"12,007","10,364","9,858",,Derby North,181,East Midlands,"71,474","45,080","45,212","46,102",63.1,63.3,64.5,,132,,"11,644","9,521","8,631"
182,Derby South,E14000663,Borough,East Midlands,Derbyshire,"70,240","40,820","40,986","41,738",58.1,58.4,59.4,,166,,"11,872","9,903","9,151",,Derby South,182,East Midlands,"70,999","41,188","41,434","42,678",58.0,58.4,60.1,,246,,"12,966","9,758","8,514"
183,Derbyshire Dales,E14000664,County,East Midlands,Derbyshire,"63,476","47,361","47,491","47,860",74.6,74.8,75.4,,130,,"12,243","10,977","10,608",,Derbyshire Dales,183,East Midlands,"63,376","46,780","46,875","47,146",73.8,74.0,74.4,,95,,"11,583","10,129","9,858"
241,Erewash,E14000695,County,East Midlands,Derbyshire,"71,943","48,322","48,468","48,619",67.2,67.4,67.6,,146,,"13,432","11,869","11,718",,Erewash,241,East Midlands,"69,655","47,642","47,683","48,019",68.4,68.5,68.9,,41,,"12,218","10,779","10,443"
257,Gainsborough,E14000707,County,East Midlands,Lincolnshire,"74,686","49,261","49,450","49,566",66.0,66.2,66.4,,189,,"11,163","9,448","9,332",,Gainsborough,257,East Midlands,"72,939","49,251","49,366","49,715",67.5,67.7,68.2,,115,,"10,321","8,789","8,440"
260,Gedling,E14000710,County,East Midlands,Nottinghamshire,"70,000","47,998","48,143","48,266",68.6,68.8,69.0,,145,,"11,461","9,927","9,804",,Gedling,260,East Midlands,"70,866","48,190","48,259","48,450",68.0,68.1,68.4,,69,,"11,357","9,358","9,167"
274,Grantham and Stamford,E14000714,County,East Midlands,Lincolnshire,"81,150","53,755","53,979","54,204",66.2,66.5,66.8,,224,,"14,860","12,889","12,664",,Grantham & Stamford,274,East Midlands,"78,008","52,799","52,874","53,109",67.7,67.8,68.1,,75,,"13,964","11,657","11,422"
291,Harborough,E14000728,County,East Midlands,Leicestershire,"77,760","52,471","52,681","52,974",67.5,67.7,68.1,,210,,"14,256","12,120","11,827",,Harborough,291,East Midlands,"77,917","54,945","55,027","55,347",70.5,70.6,71.0,,82,,"13,018","11,003","10,683"
314,High Peak,E14000748,County,East Midlands,Derbyshire,"73,336","50,789","50,942","51,250",69.3,69.5,69.9,,153,,"11,917","10,728","10,420",,High Peak,314,East Midlands,"71,458","50,337","50,436","50,703",70.4,70.6,71.0,,99,,"11,733","10,274","10,007"
341,Kettering,E14000769,County,East Midlands,Northamptonshire,"70,155","47,218","47,358","47,760",67.3,67.5,68.1,,140,,"16,957","12,772","12,370",,Kettering,341,East Midlands,"68,824","47,328","47,383","48,078",68.8,68.8,69.9,,55,,"17,606","15,739","15,044"
356,Leicester East,E14000782,Borough,East Midlands,Leicestershire,"75,430","48,068","48,601","49,101",63.7,64.4,65.1,,533,,"11,404","9,509","9,009",,Leicester East,356,East Midlands,"72,986","47,995","48,120","48,930",65.8,65.9,67.0,,125,,"12,370","10,580","9,770"
357,Leicester South,E14000783,Borough,East Midlands,Leicestershire,"73,518","45,942","46,340","46,797",62.5,63.0,63.7,,398,,"9,804","8,290","7,833",,Leicester South,357,East Midlands,"77,175","47,124","47,233","47,892",61.1,61.2,62.1,,109,,"11,163","9,594","8,935"
358,Leicester West,E14000784,Borough,East Midlands,Leicestershire,"63,204","34,522","34,758","35,123",54.6,55.0,55.6,,236,,"7,828","6,510","6,145",,Leicester West,358,East Midlands,"64,900","35,819","35,908","36,330",55.2,55.3,56.0,,89,,"9,831","8,039","7,617"
368,Lincoln,E14000792,Borough,East Midlands,Lincolnshire,"74,121","46,852","47,076","47,330",63.2,63.5,63.9,,224,,"9,894","8,588","8,334",,Lincoln,368,East Midlands,"73,540","45,721","45,806","46,088",62.2,62.3,62.7,,85,,"10,405","8,491","8,209"
377,Loughborough,E14000797,County,East Midlands,Leicestershire,"75,217","52,020","52,230","52,399",69.2,69.4,69.7,,210,,"11,178","9,887","9,718",,Loughborough,377,East Midlands,"77,505","52,838","52,947","53,110",68.2,68.3,68.5,,109,,"9,133","8,196","8,033"
